Time_s,R0,R1,C1,R2,C2
10394.92115,0.0016726522437746341,0.0049453044875492685,16365.695512450731,0.002772652243774634,403.30477562253657
10395.93108,0.0016727212077502344,0.004945442415500469,16365.557584499531,0.0027727212077502342,403.29787922497655
10396.93123,0.0016727895038897652,0.004945579007779531,16365.42099222047,0.0027727895038897653,403.2910496110235
10397.94092,0.0016728584514767502,0.0049457169029535,16365.2830970465,0.00277285845147675,403.28415485232495
10398.94095,0.0016729267394219737,0.004945853478843947,16365.146521156053,0.0027729267394219735,403.2773260578026
10399.94106,0.0016729950328300686,0.004945990065660137,16365.009934339863,0.0027729950328300684,403.27049671699314
10400.95095,0.001673063994074233,0.004946127988148466,16364.872011851534,0.0027730639940742327,403.2636005925767
10401.95107,0.001673132288165187,0.004946264576330374,16364.735423669626,0.002773132288165187,403.2567711834813
10402.95123,0.0016732005849875767,0.004946401169975153,16364.598830024846,0.0027732005849875766,403.2499415012423
10403.96101,0.0016732695387202926,0.004946539077440585,16364.460922559414,0.0027732695387202924,403.24304612797073
10404.96105,0.0016733378273483747,0.004946675654696749,16364.32434530325,0.0027733378273483746,403.2362172651625
10405.96111,0.0016734061173421752,0.00494681223468435,16364.18776531565,0.002773406117342175,403.22938826578246
10406.96112,0.0016734744039216805,0.00494694880784336,16364.05119215664,0.00277347440392168,403.22255960783195
10407.96126,0.0016735426993783524,0.004947085398756705,16363.914601243296,0.0027735426993783525,403.21573006216477
10408.97118,0.0016736116626710935,0.004947223325342187,16363.776674657813,0.0027736116626710934,403.20883373289064
10409.98106,0.001673680623232399,0.004947361246464797,16363.638753535202,0.0027736806232323986,403.2019376767601
10410.98112,0.0016737489132261992,0.004947497826452398,16363.502173547602,0.002773748913226199,403.19510867738006
10411.98131,0.001673817212097166,0.004947634424194332,16363.365575805668,0.002773817212097166,403.1882787902834
10412.99108,0.0016738861651470227,0.004947772330294045,16363.227669705955,0.0027738861651470225,403.1813834852977
10413.99109,0.001673954451726528,0.004947908903453056,16363.091096546945,0.002773954451726528,403.1745548273472
10414.99119,0.0016740227444517642,0.004948045488903528,16362.954511096472,0.002774022744451764,403.16772555482356
10415.99245,0.0016740911163886404,0.004948182232777281,16362.81776722272,0.0027740911163886403,403.16088836113596
10416.99252,0.0016741594070652996,0.004948318814130599,16362.6811858694,0.0027741594070652994,403.15405929347
10417.99259,0.0016742276977419587,0.004948455395483917,16362.544604516082,0.0027742276977419586,403.1472302258041
10418.9926,0.001674295984321464,0.0049485919686429285,16362.408031357072,0.002774295984321464,403.1404015678536
10419.99261,0.0016743642709009694,0.004948728541801939,16362.271458198062,0.0027743642709009693,403.133572909903
10420.99262,0.001674432557480475,0.00494886511496095,16362.13488503905,0.002774432557480475,403.12674425195246
10421.99263,0.0016745008440599805,0.004949001688119961,16361.99831188004,0.0027745008440599804,403.11991559400195
10422.99265,0.0016745691313223448,0.0049491382626446895,16361.86173735531,0.0027745691313223447,403.1130868677655
10424.00283,0.001674638112369419,0.004949276224738838,16361.723775261162,0.0027746381123694187,403.10618876305807
10425.00395,0.0016747064747462698,0.0049494129494925395,16361.58705050746,0.0027747064747462697,403.09935252537304
10426.01381,0.0016747754339418571,0.004949550867883714,16361.449132116286,0.002774775433941857,403.0924566058143
10427.01394,0.0016748437287156701,0.0049496874574313406,16361.31254256866,0.00277484372871567,403.085627128433
10428.01518,0.0016749120992868285,0.004949824198573657,16361.175801426343,0.0027749120992868284,403.07879007131714
10429.0152,0.0016749803865491928,0.004949960773098385,16361.039226901614,0.0027749803865491926,403.0719613450807
10430.02519,0.0016750493546219467,0.004950098709243894,16360.901290756106,0.0027750493546219467,403.0650645378053
10431.0252,0.001675117641201452,0.004950235282402904,16360.764717597096,0.002775117641201452,403.0582358798548
10432.03511,0.0016751866038113342,0.004950373207622668,16360.62679237733,0.002775186603811334,403.05133961886656
10433.03526,0.0016752548999508653,0.00495050979990173,16360.49020009827,0.002775254899950865,403.0445100049135
10434.04521,0.0016753238652921832,0.004950647730584366,16360.352269415633,0.002775323865292183,403.03761347078165
10435.04522,0.0016753921518716888,0.004950784303743377,16360.215696256622,0.0027753921518716886,403.03078481283114
10436.04523,0.0016754604384511941,0.0049509208769023885,16360.079123097612,0.002775460438451194,403.0239561548806
10437.04526,0.0016755287263964175,0.0049510574527928345,16359.942547207165,0.002775528726396417,403.01712736035824
10438.05506,0.001675597681494851,0.004951195362989702,16359.804637010298,0.002775597681494851,403.01023185051486
10439.05525,0.0016756659803658178,0.0049513319607316355,16359.668039268365,0.0027756659803658177,403.00340196341824
10440.05527,0.0016757342676281823,0.004951468535256364,16359.531464743635,0.002775734267628182,402.9965732371818
10441.06542,0.0016758032466266796,0.004951606493253359,16359.393506746641,0.0027758032466266794,402.989675337332
10442.06654,0.0016758716090035303,0.00495174321800706,16359.256781992939,0.00277587160900353,402.982839099647
10443.06654,0.0016759398949001767,0.004951879789800353,16359.120210199646,0.0027759398949001764,402.9760105099823
10444.07628,0.0016760088459014564,0.004952017691802913,16358.982308197086,0.0027760088459014565,402.96911540985434
10445.07653,0.001676077148869577,0.004952154297739154,16358.845702260845,0.002776077148869577,402.9622851130423
10446.07656,0.0016761454368148005,0.004952290873629601,16358.709126370399,0.0027761454368148003,402.95545631851996
10447.08658,0.0016762144069361311,0.004952428813872262,16358.571186127738,0.002776214406936131,402.94855930638687
10448.0866,0.0016762826941984956,0.004952565388396992,16358.434611603008,0.0027762826941984957,402.9417305801504
10449.08775,0.0016763510586239234,0.004952702117247847,16358.297882752153,0.0027763510586239232,402.93489413760767
10450.08788,0.0016764193533977362,0.004952838706795472,16358.161293204528,0.002776419353397736,402.92806466022637
10451.09786,0.0016764883207876311,0.004952976641575262,16358.023358424738,0.002776488320787631,402.9211679212369
10452.10737,0.0016765572560831546,0.004953114512166309,16357.88548783369,0.0027765572560831545,402.9142743916845
10453.10788,0.0016766255768056084,0.004953251153611217,16357.748846388782,0.0027766255768056085,402.90744231943916
10454.10792,0.0016766938654336908,0.0049533877308673814,16357.612269132618,0.0027766938654336906,402.90061345663094
10455.10798,0.001676762155427491,0.004953524310854982,16357.475689145018,0.002776762155427491,402.8937844572509
10456.10914,0.0016768305205357777,0.004953661041071555,16357.338958928445,0.0027768305205357773,402.8869479464222
10457.10918,0.0016768988091638598,0.00495379761832772,16357.20238167228,0.00277689880916386,402.880119083614
10458.11919,0.0016769677786023316,0.004953935557204663,16357.064442795336,0.0027769677786023315,402.8732221397668
10459.12921,0.0016770367487236625,0.004954073497447325,16356.926502552675,0.0027770367487236626,402.86632512763373
10460.13917,0.0016771057147478396,0.0049542114294956795,16356.78857050432,0.0027771057147478397,402.859428525216
10461.14044,0.0016771740873675748,0.004954348174735149,16356.651825264851,0.0027771740873675744,402.8525912632425
10462.14045,0.0016772423739470803,0.00495448474789416,16356.515252105839,0.00277724237394708,402.84576260529195
10463.14046,0.0016773106605265857,0.004954621321053171,16356.378678946829,0.0027773106605265855,402.8389339473414
10464.14047,0.001677378947106091,0.004954757894212182,16356.242105787818,0.002777378947106091,402.8321052893909
10465.14049,0.0016774472343684555,0.004954894468736911,16356.105531263089,0.0027774472343684554,402.82527656315443
10466.15049,0.0016775162031240683,0.0049550324062481365,16355.967593751864,0.002777516203124068,402.81837968759316
10467.1505,0.0016775844897035737,0.004955168979407148,16355.831020592852,0.0027775844897035737,402.8115510296426
10468.15055,0.0016776527790145152,0.00495530555802903,16355.694441970969,0.002777652779014515,402.8047220985485
10469.15066,0.00167772107242261,0.00495544214484522,16355.55785515478,0.00277772107242261,402.79789275773896
10470.1517,0.0016777894293365891,0.004955578858673178,16355.421141326822,0.002777789429336589,402.79105706634107
10471.16177,0.0016778584028722147,0.004955716805744429,16355.283194255571,0.0027778584028722146,402.78415971277855
10472.17178,0.0016779273723106867,0.004955854744621373,16355.145255378626,0.0027779273723106865,402.77726276893134
10473.18181,0.0016779963431148765,0.004955992686229753,16355.007313770247,0.0027779963431148764,402.77036568851236
10474.19157,0.001678065295481874,0.004956130590963748,16354.869409036251,0.002778065295481874,402.76347045181257
10475.19168,0.0016781335888899692,0.004956267177779939,16354.732822220061,0.0027781335888899692,402.7566411110031
10476.19306,0.001678201969021153,0.004956403938042306,16354.596061957694,0.002778201969021153,402.7498030978847
